"","Generations","Abundance"
"1",1,100
"2",2,167.666666666667
"3",3,278.473840740741
"4",4,455.311070597983
"5",5,725.656913447785
"6",6,1110.74856311984
"7",7,1600.39467086007
"8",8,2123.04288320808
"9",9,2557.46698186763
"10",10,2821.54515106157
"11",11,2939.03278092622
"12",12,2980.8425338575
"13",13,2994.16712483848
"14",14,2998.24219888393
