"Ecosystem","Density","Fertilizer","Inoculum","Pot_ID","Andropogon.gerardii","Asclepias.verticillata","Bouteloua.curtipendula","Brickellia.eupatorioides","Lespedeza.capitata","Panicum.virgatum","Dalea.candida","Solidago.canadensis","Sorghastrum.nutans","Geum.rossii","Artemisia.scopulorum","Polygonum.bistortoides","Carex.scopulorum","Deschampsia.cespitosa","Erigeron.simplex","Potentilla.diversifolia","Trifolium.parryi","Trisetum.spicatum","Aristida.purpurea","Astragalus.nuttallianus","Bouteloua.eriopoda","Bouteloua.gracilis","Cryptantha.crassisepala","Gutierrezia.sarothrae","Melampodium.leucanthum","Pleraphis.jamesii","Sporobolus.flexuosus","Richness","Shannon_diversity","Evenness","Productivity"
"alpine tundra","high","X","nitrogen","16-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3833,2.4156,0.0358,5.6812,5.3901,0.2816,0.7229,0.7309,3.7895,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.68947918839455,0.768915114923197,19.4309
"alpine tundra","low","X","nitrogen","16-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2872,1.4801,0.0305,12.9435,5.9714,0.2897,0.5877,0.409,3.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.37128265999936,0.624097633962305,25.0005
"alpine tundra","high","N","nitrogen","17-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4624,1.9677,0.0406,4.1569,9.6475,0.3104,0.477,0.7742,6.4094,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.55382697618451,0.707177132557055,24.2461
"alpine tundra","low","N","nitrogen","17-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3129,1.3866,0.0651,16.6834,8.8005,0.2979,0.2427,0.6394,4.8991,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.32201647127728,0.601675625201685,33.3276
"alpine tundra","high","X","nitrogen","18-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3261,2.157,0.148,7.6356,4.8977,0.3389,0.8255,0.5252,2.1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.62328816906456,0.738790283800912,18.9763
"alpine tundra","low","X","nitrogen","18-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3145,1.6745,0.0536,12.5889,6.3458,0.2277,0.3489,0.1731,3.2332,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.34470841891165,0.612003175634367,24.9602
"alpine tundra","high","N","nitrogen","19-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3411,2.4032,0.0387,4.7565,5.2048,0.3339,1.2167,0.4759,10.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.56713795760227,0.713235221272725,25.5388
"alpine tundra","low","N","nitrogen","19-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3179,2.8307,0.0247,9.6535,8.3829,0.2314,0.5034,0.7981,4.0106,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.53332258346165,0.697845181269798,26.7532
"alpine tundra","high","X","control","2-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2513,0.9353,0.0389,3.3808,3.9932,0.3447,1.0863,0.6811,2.5422,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.75853007187149,0.80034152631017,13.2538
"alpine tundra","low","X","control","2-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4449,1.3332,0.0503,4.5922,5.3171,0.2753,0.4646,0.2325,2.7346,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.60691907964211,0.731340390152672,15.4447
"alpine tundra","high","X","nitrogen","20-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6926,1.5284,0.1419,6.5434,4.2081,0.67,0.6552,0.3693,4.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.7033695125689,0.775236873890222,19.1569
